Final Population Data: Variable Values -- Objective Function Values
-2.60742214427	-1.43123005405			|| 8.84706970601
-4.80395712936	2.73234694472			|| 8.84706970601
-1.60313704441	-1.60313704441			|| 5.14009676635
-0.087406035067	-0.346563297731			|| 0.1277459343
4.22068741343	-2.58379626772			|| 8.84706970601
4.05096472805	3.42059322603			|| 5.14009676635
-5.90068887684	-5.8062171515			|| 0.1277459343
-3.98088784522	1.0248740811			|| 8.84706970601
-3.11981156342	2.75717970883			|| 5.14009676635
-2.52660503658	-1.11824574619			|| 0.1277459343
-1.05323074158	-2.34018157387			|| 6.58574479367
3.06390615533	3.41642918769			|| 8.84706970601
1.10164938397	-5.75853507064			|| 5.14009676635
0.503390166879	-2.5597499944			|| 0.1277459343
1.54449329917	1.54449329917			|| 4.77091910235
